TITLE_KEY,TITLE,RELEASE_YEAR,BUDGET,REVENUE,ROI,POPULARITY,VOTE_AVERAGE
23169_Movie,Remember Me,2010,16000000,56000000,2.50,25.397,7.1
37735_Movie,Easy A,2010,8000000,75026327,8.38,25.329,6.8
44048_Movie,Unstoppable,2010,100000000,167805466,0.68,25.307,6.6
37786_Movie,Sex and the City 2,2010,100000000,290700000,1.91,24.953,6.1
41283_Movie,Faster,2010,24000000,23081726,-0.04,24.78,6.3
41436_Movie,Paranormal Activity 2,2010,3000000,177512032,58.17,24.747,5.8
37710_Movie,The Tourist,2010,100000000,278731369,1.79,24.522,6.183
41233_Movie,Step Up 3D,2010,30000000,159291809,4.31,24.48,6.8
44264_Movie,True Grit,2010,38000000,252300000,5.64,23.782,7.3
43539_Movie,The Next Three Days,2010,30000000,67448651,1.25,23.613,7.1
37056_Movie,Letters to Juliet,2010,30000000,82148538,1.74,23.388,7.002
23048_Movie,Hot Tub Time Machine,2010,36000000,64780213,0.80,23.351,6
40264_Movie,Vampires Suck,2010,20000000,80547866,3.03,23.306,4.3
23172_Movie,The Spy Next Door,2010,28000000,66166000,1.36,23.229,5.9
25602_Movie,Ninja,2010,10000000,194243,-0.98,22.547,6.1
23023_Movie,Tooth Fairy,2010,48000000,112462508,1.34,21.966,5.5
41216_Movie,Legend of the Guardians: The Owls of Ga'Hoole,2010,80000000,140073390,0.75,21.922,6.8
27579_Movie,The American,2010,20000000,67900000,2.40,21.884,6
49009_Movie,The Way Back,2010,30000000,24200000,-0.19,21.501,7
23631_Movie,Machete,2010,10500000,45491656,3.33,20.986,6.3
26388_Movie,Buried,2010,1987650,19152480,8.64,20.832,6.6
37950_Movie,Charlie St. Cloud,2010,44000000,48200000,0.10,20.742,6.965
42684_Movie,Skyline,2010,10500000,66984887,5.38,20.734,5.013
28211_Movie,Chloe,2010,14000000,13657649,-0.02,20.458,6.1
13477_Movie,When in Rome,2010,55000000,43042835,-0.22,20.362,6
46146_Movie,Troll Hunter,2010,3500000,4159678,0.19,20.266,6.7
19901_Movie,Daybreakers,2010,20000000,51417188,1.57,20.059,6.3
42188_Movie,Never Let Me Go,2010,15000000,9918093,-0.34,19.744,6.9
39451_Movie,Little Fockers,2010,100000000,310650585,2.11,19.651,5.645
27573_Movie,The Bounty Hunter,2010,40000000,136300000,2.41,19.636,5.855
11439_Movie,The Ghost Writer,2010,45000000,60300000,0.34,19.59,6.8
41402_Movie,Let Me In,2010,20000000,24145613,0.21,19.481,6.8
59429_Movie,Paranormal Activity: Tokyo Night,2010,1350000,4160000,2.08,19.335,6
46261_Movie,Don't Be Afraid of the Dark,2010,25000000,36993168,0.48,18.785,5.775
45317_Movie,The Fighter,2010,25000000,129190869,4.17,18.607,7.4
29427_Movie,The Crazies,2010,20000000,54956140,1.75,18.477,6.279
23759_Movie,Centurion,2010,12000000,6890432,-0.43,18.457,6.231
42297_Movie,Burlesque,2010,55000000,89500000,0.63,18.373,7.2
34803_Movie,Death at a Funeral,2010,21000000,49050886,1.34,18.275,5.8
33909_Movie,Wall Street: Money Never Sleeps,2010,70000000,134748021,0.92,18.214,6.1
20533_Movie,Jonah Hex,2010,47000000,10539000,-0.78,18.183,4.9
51200_Movie,71: Into the Fire,2010,10400000,20967660,1.02,17.98,7.518
32856_Movie,Valentine's Day,2010,52000000,216500000,3.16,17.915,5.9
38745_Movie,Gulliver's Travels,2010,112000000,237382724,1.12,17.776,5.203
12201_Movie,Edge of Darkness,2010,80000000,81126522,0.01,17.755,6.3
34813_Movie,The Losers,2010,25000000,23580000,-0.06,17.425,6.3
22971_Movie,Dear John,2010,25000000,114977104,3.60,17.041,6.8
38408_Movie,Life As We Know It,2010,38000000,105734416,1.78,17.009,6.9
42949_Movie,Arthur 3: The War of the Two Worlds,2010,70200000,33885979,-0.52,16.847,5.78
32823_Movie,Get Him to the Greek,2010,40000000,90029656,1.25,16.656,6
23742_Movie,Cop Out,2010,30000000,55600000,0.85,16.596,5.5
42888_Movie,How Do You Know,2010,120000000,48668907,-0.59,16.422,5.305
58857_Movie,13 Assassins,2010,6000000,17555141,1.93,16.249,7.3
39486_Movie,Secretariat,2010,35000000,60300000,0.72,16.175,7.4
44603_Movie,Hereafter,2010,50000000,107000000,1.14,16.103,6.105
43930_Movie,"Tomorrow, When the War Began",2010,27000000,16533595,-0.39,16.093,6.2
37821_Movie,Killers,2010,75000000,98159963,0.31,15.861,6
16290_Movie,Jackass 3D,2010,20000000,117224271,4.86,15.68,6.6
41515_Movie,Yogi Bear,2010,80000000,203509374,1.54,15.564,5.6
35056_Movie,Date Night,2010,55000000,152300000,1.77,15.339,6.1
44040_Movie,Devil,2010,10000000,33583175,2.36,15.29,6.1
34806_Movie,The Back-Up Plan,2010,35000000,77477008,1.21,15.209,6.1
44945_Movie,Trust,2010,9500000,120000,-0.99,15.156,6.6
46332_Movie,Of Gods and Men,2010,4000000,41424067,9.36,14.973,6.669
45657_Movie,The Ward,2010,10000000,5343820,-0.47,14.936,5.771
39013_Movie,Winter's Bone,2010,2000000,13831503,5.92,14.694,6.8
43933_Movie,Monsters,2010,500000,5639730,10.28,14.676,6.222
49852_Movie,The Nutcracker,2010,90000000,17177993,-0.81,14.574,5.1
45132_Movie,Super,2010,2500000,1185012,-0.53,14.298,6.538
43919_Movie,Hatchet II,2010,2500000,156190,-0.94,14.249,5.5
38579_Movie,Marmaduke,2010,50000000,83761844,0.68,14.108,5.2
27585_Movie,Rabbit Hole,2010,5000000,5144717,0.03,14.074,6.7
44639_Movie,Inside Job,2010,2000000,7871522,2.94,14.038,7.7
26390_Movie,Brooklyn's Finest,2010,17000000,45700000,1.69,14.005,6.3
22972_Movie,Green Zone,2010,100000000,94882889,-0.05,13.96,6.5
43552_Movie,Vanishing on 7th Street,2010,10000000,1671196,-0.83,13.772,5.3
39691_Movie,Cats & Dogs: The Revenge of Kitty Galore,2010,85000000,112483764,0.32,13.713,5.2
41210_Movie,The Switch,2010,19000000,49830607,1.62,13.691,6.2
12819_Movie,Alpha and Omega,2010,20000000,50507267,1.53,13.599,5.9
38357_Movie,Morning Glory,2010,40000000,60040976,0.50,13.541,6.3
46420_Movie,The Loved Ones,2010,4000000,358399,-0.91,13.353,6.7
42194_Movie,Tekken,2010,30000000,967000,-0.97,13.226,5.4
38363_Movie,Fair Game,2010,22000000,25806953,0.17,13.226,6.474
43923_Movie,It's Kind of a Funny Story,2010,8000000,6491240,-0.19,13.185,7
37414_Movie,The Killer Inside Me,2010,13000000,3977192,-0.69,13.148,5.8
48838_Movie,London Boulevard,2010,25000000,8307227,-0.67,13.124,5.9
35690_Movie,The Last Song,2010,20000000,89137047,3.46,13.119,7.2
37034_Movie,True Legend,2010,20000000,6820000,-0.66,12.973,6.6
8952_Movie,I Love You Phillip Morris,2010,13000000,20768906,0.60,12.571,6.4
101669_Movie,Mother's Day,2010,11000000,863000,-0.92,12.557,6.505
38303_Movie,You Again,2010,20000000,32054369,0.60,12.44,6.281
38073_Movie,Going the Distance,2010,32000000,42045846,0.31,12.269,6.1
48034_Movie,Little White Lies,2010,25000000,48531470,0.94,12.242,7.107
37495_Movie,Four Lions,2010,3900000,6200000,0.59,12.234,6.955
38778_Movie,Dinner for Schmucks,2010,69000000,86387857,0.25,12.162,5.7
23830_Movie,Last Night,2010,7000000,7644937,0.09,12.137,6.115
44147_Movie,Wild Target,2010,8000000,3453043,-0.57,12.018,6.4
41411_Movie,The Round Up,2010,20000000,25346148,0.27,11.966,7.55
41505_Movie,6 Souls,2010,22000000,851517,-0.96,11.89,6.1
41110_Movie,I Am Love,2010,3600000,12014663,2.34,11.883,6.8
47904_Movie,Outside the Law,2010,30000000,3470487,-0.88,11.803,6.6
43931_Movie,My Soul to Take,2010,25000000,21500813,-0.14,11.799,5.5
52015_Movie,Stake Land,2010,650000,33245,-0.95,11.743,6.2
38843_Movie,Ramona and Beezus,2010,15000000,27293743,0.82,11.688,6.5
148284_Movie,Enthiran,2010,26400000,62000000,1.35,11.482,6.6
44113_Movie,Stone,2010,22000000,9479718,-0.57,11.406,5.3
41479_Movie,The Joneses,2010,10000000,7022728,-0.30,11.396,6.188
44129_Movie,The Company Men,2010,15000000,4882577,-0.67,11.394,6.5
39210_Movie,Somewhere,2010,8000000,14788642,0.85,11.034,6.1
41592_Movie,StreetDance 3D,2010,5773100,18144030,2.14,11.017,6.5
39781_Movie,The Kids Are All Right,2010,3500000,34705850,8.92,10.92,6.6
52505_Movie,The Other Woman,2010,30000000,1451343,-0.95,10.896,6.2
46528_Movie,The Warrior's Way,2010,42000000,11100000,-0.74,10.893,6.6
41201_Movie,The Illusionist,2010,18000000,6007194,-0.67,10.871,7.2
41211_Movie,Heartbreaker,2010,8700000,47355187,4.44,10.822,6.6
44716_Movie,In a Better World,2010,15000000,13004198,-0.13,10.775,7.118
27569_Movie,Extraordinary Measures,2010,31000000,15134293,-0.51,10.774,6.3
31867_Movie,Repo Men,2010,32000000,18409891,-0.42,10.714,6.323
57695_Movie,The Princess of Montpensier,2010,14734000,6775121,-0.54,10.707,6.375
55890_Movie,Bereavement,2010,2000000,10000000,4.00,10.623,5.3
48289_Movie,The Debt,2010,20000000,45636368,1.28,10.548,6.6
30618_Movie,Bunraku,2010,25000000,129706,-0.99,10.297,5.9
53457_Movie,Sarah's Key,2010,10000000,17511906,0.75,10.117,7.3
43434_Movie,Carlos,2010,18000000,871279,-0.95,10.023,7
44629_Movie,Animal Kingdom,2010,5000000,1000000,-0.80,9.915,6.804
48492_Movie,Detective Dee and the Mystery of the Phantom Flame,2010,13000000,51723285,2.98,9.903,6.5
41556_Movie,The Romantics,2010,4500000,123820,-0.97,9.566,4.898
27584_Movie,High School,2010,10000000,221590,-0.98,9.518,5.711
27586_Movie,The Runaways,2010,10000000,2995811,-0.70,9.491,6.5
35169_Movie,Furry Vengeance,2010,35000000,36236710,0.04,9.433,5.021
39800_Movie,Life During Wartime,2010,4500000,744816,-0.83,9.375,5.992
61984_Movie,Space Battleship Yamato,2010,12000000,49827298,3.15,9.333,6.403
46138_Movie,Made in Dagenham,2010,7200000,12629471,0.75,9.228,6.7
48415_Movie,Welcome to the South,2010,4000000,65584679,15.40,9.1,6.7
66195_Movie,The Perfect Host,2010,500000,453708,-0.09,9.095,6.4
34764_Movie,Karthik Calling Karthik,2010,2800000,3900000,0.39,9.029,6.2
44835_Movie,Hesher,2010,7000000,449702,-0.94,9.015,6.8
50618_Movie,Fortress of War,2010,8500000,4404729,-0.48,9.01,7.2
56812_Movie,The Last Circus,2010,7000000,3604598,-0.49,9,6.7
44718_Movie,Get Low,2010,700000,10522511,14.03,8.999,6.7
37931_Movie,MacGruber,2010,10000000,9322895,-0.07,8.953,5.4
42889_Movie,The Virginity Hit,2010,2000000,636706,-0.68,8.948,4.4
44009_Movie,Another Year,2010,8000000,18124262,1.27,8.946,7
44638_Movie,The Tempest,2010,20000000,346594,-0.98,8.891,5.4
50204_Movie,Burke & Hare,2010,10000000,4791599,-0.52,8.882,6.1
44560_Movie,Aftershock,2010,25000000,100297064,3.01,8.879,7.1
35688_Movie,Why Did I Get Married Too?,2010,20000000,60673972,2.03,8.786,6.5
70695_Movie,Dirty Girl,2010,4000000,143485,-0.96,8.734,6.067
45272_Movie,Country Strong,2010,15000000,20601987,0.37,8.721,6.1
45649_Movie,Rubber,2010,500000,98017,-0.80,8.682,5.9
52077_Movie,Nothing to Declare,2010,28000000,93800000,2.35,8.592,5.9
45094_Movie,Conviction,2010,12500000,11826980,-0.05,8.498,7.058
51241_Movie,Heartbeats,2010,464229,62985,-0.86,8.49,7.1
44944_Movie,For Colored Girls,2010,21000000,38000000,0.81,8.424,6.7
38568_Movie,Howl,2010,5000000,1183258,-0.76,8.412,6.5
46829_Movie,Barney's Version,2010,30000000,8454301,-0.72,8.353,7.029
29159_Movie,Giallo,2010,14000000,50113,-1.00,8.289,4.1
45324_Movie,Casino Jack,2010,12500000,1083683,-0.91,8.267,5.836
38033_Movie,Chain Letter,2010,5000000,143000,-0.97,8.266,4.4
58051_Movie,Housefull,2010,3800000,16000000,3.21,8.246,5.7
40794_Movie,Loose Cannons,2010,7000000,8220215,0.17,8.052,7.3
48303_Movie,Certified Copy,2010,7000000,7736632,0.11,8.026,7
53172_Movie,Henry's Crime,2010,12000000,2200000,-0.82,8.023,5.8
38448_Movie,Ondine,2010,12000000,1790061,-0.85,7.836,6.325
12645_Movie,Inhale,2010,10000000,55089,-0.99,7.828,6
42296_Movie,Catfish,2010,30000,3045943,100.53,7.827,6.834
38407_Movie,Shanghai,2010,50000000,15302850,-0.69,7.723,6.1
44877_Movie,4.3.2.1,2010,4600000,1163967,-0.75,7.454,5.52
34563_Movie,Our Family Wedding,2010,14000000,21409028,0.53,7.395,5.702
44263_Movie,City Under Siege,2010,17000000,13851432,-0.19,7.274,5.1
39053_Movie,Cyrus,2010,7000000,9900000,0.41,7.225,5.9
45316_Movie,Udaan,2010,800000,520000,-0.35,7.174,7.188
54456_Movie,Raavanan,2010,5200000,9700000,0.87,7.026,7
62871_Movie,A Distant Neighborhood,2010,18000000,231820,-0.99,6.805,7.1
45756_Movie,Saint,2010,4000000,4000000,0.00,6.75,5
57809_Movie,Six Degrees of Celebration,2010,5800000,25030264,3.32,6.706,6.4
46689_Movie,Waste Land,2010,1500000,187716,-0.87,6.696,7.6
46523_Movie,New Kids Turbo,2010,1500000,8786756,4.86,6.677,6.363
35428_Movie,What Men Talk About,2010,1950000,12005838,5.16,6.547,7.257
35716_Movie,Preacher's Kid,2010,7000000,515065,-0.93,6.495,6.1
51306_Movie,Lost on Journey,2010,50000000,500000,-0.99,6.459,6.9
42966_Movie,Once Upon a Time in Mumbaai,2010,19000000,8300000,-0.56,6.443,6.6
47088_Movie,The Extra Man,2010,7000000,453079,-0.94,6.442,5.8
27004_Movie,Ca$h,2010,7000000,46488,-0.99,6.296,5.9
45839_Movie,FRED: The Movie,2010,4000000,1309580,-0.67,6.082,4.5
36696_Movie,Space Dogs,2010,25000000,8553835,-0.66,6.063,5.2
47557_Movie,The Edge,2010,11000000,5380142,-0.51,6.041,5.8
62756_Movie,Singam,2010,2200000,9700000,3.41,5.967,6.701
44566_Movie,Anjaana Anjaani,2010,6400000,5900000,-0.08,5.756,6
37832_Movie,Mammuth,2010,3000000,7100000,1.37,5.749,5.8
38325_Movie,How I Ended This Summer,2010,2500000,622644,-0.75,5.731,6.491
52939_Movie,Three Heroes and the Shamakhan Queen,2010,3000000,20157447,5.72,5.688,6.239
69597_Movie,Aayirathil Oruvan,2010,7500000,20000000,1.67,5.686,6.552
57521_Movie,Black Bread,2010,6000000,3770657,-0.37,5.516,6.7
54524_Movie,The Robber,2010,3900000,208475,-0.95,5.322,6.5
60604_Movie,Hanamizuki,2010,5500000,33020000,5.00,5.177,7.5
43942_Movie,Freakonomics,2010,3000000,103735,-0.97,5.159,6.1
43609_Movie,My Own Love Song,2010,1600000,300849,-0.81,4.941,6.254
51273_Movie,Dark World,2010,3000000,8628997,1.88,4.93,4.4
51423_Movie,Beyond,2010,3000000,4800080,0.60,4.812,6.5
62077_Movie,Neon Flesh,2010,4364700,486756,-0.89,4.749,6
49679_Movie,Action Replayy,2010,10000000,5000000,-0.50,4.729,5.2
47607_Movie,Tiny Furniture,2010,65000,416498,5.41,4.711,5.7
45535_Movie,Fatal,2010,17289533,8929413,-0.48,4.701,6
37941_Movie,Vinnaithaandi Varuvaayaa,2010,3000000,12000000,3.00,4.676,7.6
42151_Movie,Down Terrace,2010,31192,10000,-0.68,4.675,6.184
63430_Movie,Ye Maaya Chesave,2010,1700000,2800000,0.65,4.629,6.8
57186_Movie,Skinning,2010,500000,288512,-0.42,4.6,6.104
29888_Movie,Dulha Mil Gaya,2010,5600000,2700000,-0.52,4.591,5.5
44565_Movie,Khatta Meetha,2010,7500000,10000000,0.33,4.584,5.6
57209_Movie,Inadequate People,2010,100000,621262,5.21,4.562,7.2
31059_Movie,Our Russia: Eggs of Destiny,2010,2000000,22212223,10.11,4.55,4.7
44978_Movie,Golmaal 3,2010,4800000,20000000,3.17,4.502,5.4
43212_Movie,My Dear Desperado,2010,800000,4214668,4.27,4.494,6.8
39806_Movie,Princess Kaiulani,2010,9000000,771499,-0.91,4.421,5.738
56853_Movie,We Believed,2010,7000000,2124145,-0.70,4.378,6.5
40777_Movie,I Hate Luv Storys,2010,4400000,12000000,1.73,4.328,5.9
56928_Movie,Meet Monica Velour,2010,5000000,33042,-0.99,4.25,5.4
44613_Movie,Lafangey Parindey,2010,4500000,5000000,0.11,4.21,5.9
43615_Movie,"Lula, the Son of Brazil",2010,9500000,3785593,-0.60,4.045,5.5
119441_Movie,"Hetalia: Axis Powers: Paint It, White!",2010,250000,1950000,6.80,3.963,7
59728_Movie,The 5th Quarter,2010,6000000,399611,-0.93,3.927,5.6
46504_Movie,Guy and Madeline on a Park Bench,2010,60000,35556,-0.41,3.92,5.4
12445_Movie,Harry Potter and the Deathly Hallows: Part 2,2011,125000000,1341511219,9.73,115.252,8.089
1865_Movie,Pirates of the Caribbean: On Stranger Tides,2011,379000000,1046721266,1.76,102.748,6.556
50619_Movie,The Twilight Saga: Breaking Dawn - Part 1,2011,110000000,712171856,5.47,89.456,6.196
49013_Movie,Cars 2,2011,200000000,559852396,1.80,85.5,6.136
1771_Movie,Captain America: The First Avenger,2011,140000000,370569774,1.65,83.313,7
10195_Movie,Thor,2011,150000000,449326618,2.00,76.373,6.8
39254_Movie,Real Steel,2011,110000000,299300000,1.72,73.536,7.046
77338_Movie,The Intouchables,2011,13000000,426590315,31.81,72.092,8.273
45243_Movie,The Hangover Part II,2011,80000000,586764305,6.33,71.647,6.5
44896_Movie,Rango,2011,135000000,245700000,0.82,68.597,6.867
417859_Movie,Puss in Boots,2011,130000000,554987477,3.27,68.45,6.569
50014_Movie,The Help,2011,25000000,216600000,7.66,65.007,8.2
56292_Movie,Mission: Impossible - Ghost Protocol,2011,145000000,694713380,3.79,63.143,7.093
49444_Movie,Kung Fu Panda 2,2011,150000000,665692281,3.44,59.677,7
50546_Movie,Just Go with It,2011,80000000,214945591,1.69,57.87,6.7
46195_Movie,Rio,2011,90000000,483866772,4.38,57.399,6.7
27582_Movie,The Mechanic,2011,40000000,51070807,0.28,56.226,6.518
41446_Movie,Scream 4,2011,40000000,97231420,1.43,55.374,6.5
49018_Movie,Insidious,2011,1500000,100106454,65.74,52.249,6.939
63311_Movie,The Skin I Live In,2011,13000000,33750478,1.60,49.854,7.5
62835_Movie,Colombiana,2011,40000000,71508440,0.79,49.214,6.634
55779_Movie,Final Destination 5,2011,40000000,157887643,2.95,48.108,6.095
38321_Movie,Priest,2011,60000000,78309131,0.31,44.387,5.817
50646_Movie,"Crazy, Stupid, Love.",2011,50000000,145079584,1.90,44.345,7.3
51876_Movie,Limitless,2011,27000000,161900000,5.00,43.127,7.191
49530_Movie,In Time,2011,40000000,173900000,3.35,43.032,6.97
61791_Movie,Rise of the Planet of the Apes,2011,93000000,481800873,4.18,41.497,7.3
64690_Movie,Drive,2011,15000000,78100000,4.21,39.282,7.58
49730_Movie,Red Riding Hood,2011,42000000,89162162,1.12,38.231,6
39513_Movie,Paul,2011,40000000,98000000,1.45,38.158,6.7
51828_Movie,One Day,2011,15000000,59400000,2.96,37.976,7.422
71859_Movie,We Need to Talk About Kevin,2011,7000000,10800000,0.54,37.727,7.5
41513_Movie,The Smurfs,2011,110000000,563749323,4.12,36.572,5.8
71676_Movie,Ghost Rider: Spirit of Vengeance,2011,57000000,132563930,1.33,36.13,5.008
65754_Movie,The Girl with the Dragon Tattoo,2011,90000000,232617430,1.58,35.218,7.4
46529_Movie,I Am Number Four,2011,50000000,149900000,2.00,34.708,6.18
58574_Movie,Sherlock Holmes: A Game of Shadows,2011,125000000,334615000,1.68,34.316,7.139
37958_Movie,Immortals,2011,75000000,226904017,2.03,34.306,6
17578_Movie,The Adventures of Tintin,2011,130000000,373993951,1.88,34.144,6.899
44943_Movie,Battle: Los Angeles,2011,70000000,211800000,2.03,33.576,5.799
59436_Movie,Midnight in Paris,2011,17000000,151119219,7.89,33.362,7.5
41630_Movie,No Strings Attached,2011,25000000,149200000,4.97,32.891,6.3
50544_Movie,Friends with Benefits,2011,35000000,149500000,3.27,32.042,6.7
55721_Movie,Bridesmaids,2011,32500000,288383523,7.87,31.413,6.523
45612_Movie,Source Code,2011,32000000,147332697,3.60,31.409,7.302
44912_Movie,Green Lantern,2011,200000000,219851172,0.10,31.223,5.2
59440_Movie,Warrior,2011,25000000,23300000,-0.07,30.589,7.842
55846_Movie,Blitz,2011,15774948,15800000,0.00,30.12,6.177
50839_Movie,Margin Call,2011,3500000,19504039,4.57,30.117,6.9
55301_Movie,Alvin and the Chipmunks: Chipwrecked,2011,75000000,342695435,3.57,28.844,5.7
60307_Movie,Diary of a Wimpy Kid: Rodrick Rules,2011,21000000,72526996,2.45,28.707,6.6
81481_Movie,Silenced,2011,2200000,31500000,13.32,27.684,8.1
37430_Movie,Conan the Barbarian,2011,90000000,63523283,-0.29,27.466,5.3
23047_Movie,Season of the Witch,2011,40000000,91627228,1.29,27.267,5.5
51540_Movie,Horrible Bosses,2011,35000000,209838559,5.00,27.209,6.6
37686_Movie,Super 8,2011,50000000,260100000,4.20,27.009,6.8
68817_Movie,Footloose,2011,24000000,63543328,1.65,26.554,6.6
49520_Movie,The Change-Up,2011,52000000,75500000,0.45,26.248,6.152
74465_Movie,We Bought a Zoo,2011,50000000,120081841,1.40,26.087,6.8
50348_Movie,The Lincoln Lawyer,2011,40000000,85412898,1.14,26.037,7.2
60935_Movie,The Thing,2011,35000000,31505287,-0.10,25.762,6.2
23629_Movie,Sucker Punch,2011,82000000,89792502,0.10,25.719,6.2
76025_Movie,Shame,2011,6500000,3909002,-0.40,25.536,6.9
49021_Movie,Killer Elite,2011,66000000,57777106,-0.12,25.503,6.3
72213_Movie,Courageous,2011,1000000,35690739,34.69,25.052,7.6
74513_Movie,Special Forces,2011,10000000,3424648,-0.66,24.556,6.7
58233_Movie,Johnny English Reborn,2011,45000000,160078586,2.56,24.518,6.2
56288_Movie,Spy Kids: All the Time in the World,2011,27000000,85564310,2.17,24.493,4.7
38322_Movie,"Big Mommas: Like Father, Like Son",2011,32000000,82686066,1.58,24.276,5.5
49849_Movie,Cowboys & Aliens,2011,163000000,174822325,0.07,24.165,5.621
38050_Movie,The Adjustment Bureau,2011,50200000,127900000,1.55,24.135,6.762
60308_Movie,Moneyball,2011,50000000,110206216,1.20,23.982,7.3
65759_Movie,Happy Feet Two,2011,130000000,150406466,0.16,23.923,6.2
58428_Movie,The Innkeepers,2011,750000,78396,-0.90,23.325,5.399
57212_Movie,War Horse,2011,66000000,177584879,1.69,22.802,7.3
