COUNTRY,YEAR_ADDED,TITLE_COUNT
Poland,2023-01-01,25
Brazil,2024-01-01,25
Hong Kong,2024-01-01,13
Mauritania,2024-01-01,1
Austria,2024-01-01,3
Saudi Arabia,2025-01-01,5
South Korea,2025-01-01,80
Croatia,2025-01-01,2
Poland,2025-01-01,20
Switzerland,2013-01-01,9
Syrian Arab Republic,2014-01-01,2
Spain,2025-01-01,42
Ukraine,2020-01-01,5
Mexico,2019-01-01,36
Portugal,2024-01-01,10
Portugal,2023-01-01,8
Lebanon,2017-01-01,4
Egypt,2011-01-01,12
Brunei Darussalam,2019-01-01,1
Greece,2018-01-01,3
Bulgaria,2011-01-01,8
Serbia,2013-01-01,3
Qatar,2014-01-01,1
Israel,2015-01-01,7
South Africa,2017-01-01,6
Romania,2018-01-01,5
Taiwan,2020-01-01,15
United Arab Emirates,2021-01-01,3
Iceland,2021-01-01,1
Latvia,2022-01-01,5
Bulgaria,2023-01-01,3
Bulgaria,2024-01-01,1
Ethiopia,2025-01-01,2
Czech Republic,2014-01-01,12
Morocco,2025-01-01,2
Fiji,2019-01-01,1
Austria,2019-01-01,7
Ukraine,2024-01-01,2
Nigeria,2022-01-01,1
Kuwait,2025-01-01,4
Iran,2011-01-01,1
New Zealand,2012-01-01,3
Lebanon,2014-01-01,3
Indonesia,2014-01-01,3
Iran,2015-01-01,3
Norway,2016-01-01,14
Austria,2016-01-01,5
Peru,2021-01-01,3
Estonia,2024-01-01,2
Czech Republic,2024-01-01,5
Georgia,2024-01-01,1
Vietnam,2024-01-01,3
Albania,2014-01-01,1
Latvia,2023-01-01,1
Iran,2018-01-01,1
Iraq,2019-01-01,1
Romania,2010-01-01,4
Estonia,2013-01-01,2
Indonesia,2012-01-01,3
Morocco,2016-01-01,2
Slovakia,2017-01-01,1
Sri Lanka,2021-01-01,2
Bhutan,2023-01-01,1
Tanzania,2011-01-01,1
South Africa,2024-01-01,10
Romania,2014-01-01,6
Czech Republic,2012-01-01,4
Lithuania,2023-01-01,2
Bulgaria,2012-01-01,3
Greece,2013-01-01,4
Qatar,2016-01-01,2
Iceland,2018-01-01,5
Faeroe Islands,2020-01-01,1
Jordan,2011-01-01,2
Vietnam,2014-01-01,1
Morocco,2019-01-01,2
Croatia,2015-01-01,1
Syrian Arab Republic,2010-01-01,2
Venezuela,2022-01-01,1
Malta,2024-01-01,1
Slovakia,2010-01-01,1
US Virgin Islands,2012-01-01,1
Tunisia,2020-01-01,1
Kazakhstan,2021-01-01,1
Bulgaria,2020-01-01,3
Syrian Arab Republic,2022-01-01,2
Lao People's Democratic Republic,2014-01-01,1
Central African Republic,2014-01-01,1
Georgia,2014-01-01,1
Rwanda,2020-01-01,1
Poland,2010-01-01,13
Colombia,2010-01-01,9
United Kingdom,2011-01-01,180
Estonia,2012-01-01,1
Iraq,2012-01-01,2
Japan,2010-01-01,185
New Zealand,2010-01-01,6
Japan,2011-01-01,160
Spain,2013-01-01,51
Taiwan,2010-01-01,14
Georgia,2011-01-01,2
Luxembourg,2012-01-01,5
South Korea,2013-01-01,105
Guatemala,2013-01-01,1
Spain,2014-01-01,41
India,2015-01-01,54
Denmark,2015-01-01,22
Spain,2016-01-01,53
Puerto Rico,2018-01-01,4
India,2018-01-01,64
Egypt,2018-01-01,10
Brazil,2019-01-01,33
Luxembourg,2022-01-01,5
South Africa,2013-01-01,6
New Zealand,2014-01-01,7
Belgium,2014-01-01,29
Hong Kong,2014-01-01,33
Australia,2015-01-01,30
United Kingdom,2015-01-01,171
Russia,2017-01-01,24
Austria,2017-01-01,9
Switzerland,2014-01-01,8
Israel,2019-01-01,5
Brazil,2020-01-01,18
Ireland,2020-01-01,19
Switzerland,2021-01-01,8
China,2021-01-01,226
Russia,2021-01-01,35
United Kingdom,2021-01-01,164
Poland,2018-01-01,15
Cote D'Ivoire,2021-01-01,1
Norway,2022-01-01,15
France,2022-01-01,107
Netherlands,2022-01-01,19
Estonia,2022-01-01,2
France,2023-01-01,134
South Korea,2023-01-01,123
Indonesia,2023-01-01,11
Norway,2024-01-01,14
United Kingdom,2025-01-01,150
India,2025-01-01,87
Sweden,2025-01-01,19
Switzerland,2025-01-01,4
Philippines,2025-01-01,25
Indonesia,2024-01-01,22
Ireland,2013-01-01,12
Egypt,2012-01-01,6
Australia,2018-01-01,29
Slovakia,2015-01-01,4
Taiwan,2021-01-01,17
Colombia,2017-01-01,7
Israel,2018-01-01,10
Egypt,2023-01-01,14
Macedonia,2017-01-01,1
France,2017-01-01,129
Netherlands,2017-01-01,18
Brazil,2021-01-01,32
Estonia,2021-01-01,4
Japan,2022-01-01,178
Germany,2022-01-01,40
Mexico,2023-01-01,50
Greece,2023-01-01,7
Ireland,2024-01-01,21
Japan,2025-01-01,137
Mexico,2013-01-01,37
Turkey,2022-01-01,39
Syrian Arab Republic,2012-01-01,1
Taiwan,2011-01-01,17
Finland,2014-01-01,4
New Zealand,2020-01-01,6
Turkey,2024-01-01,32
Croatia,2022-01-01,3
Philippines,2013-01-01,45
Indonesia,2022-01-01,9
Chile,2020-01-01,7
Austria,2010-01-01,12
United Arab Emirates,2011-01-01,6
Kenya,2010-01-01,2
Argentina,2011-01-01,12
Switzerland,2012-01-01,7
United Arab Emirates,2012-01-01,3
Luxembourg,2013-01-01,9
Congo,2014-01-01,1
Romania,2015-01-01,3
Sweden,2015-01-01,16
Sri Lanka,2017-01-01,1
Romania,2017-01-01,3
Denmark,2018-01-01,17
Malaysia,2018-01-01,6
Malta,2018-01-01,1
Switzerland,2019-01-01,6
Poland,2020-01-01,15
Indonesia,2020-01-01,2
Israel,2025-01-01,3
Estonia,2025-01-01,2
Greece,2025-01-01,2
Romania,2012-01-01,5
Singapore,2015-01-01,3
Lebanon,2023-01-01,3
Hungary,2021-01-01,2
Portugal,2019-01-01,7
Pakistan,2012-01-01,5
Pakistan,2013-01-01,8
Tunisia,2014-01-01,1
Lebanon,2016-01-01,2
Egypt,2016-01-01,14
Iceland,2019-01-01,3
Poland,2017-01-01,13
Malaysia,2013-01-01,6
Finland,2016-01-01,5
Morocco,2017-01-01,1
Dominican Republic,2024-01-01,1
Romania,2025-01-01,3
Kazakhstan,2015-01-01,1
Kenya,2015-01-01,1
Thailand,2016-01-01,13
Hungary,2019-01-01,5
Pakistan,2022-01-01,5
Uruguay,2010-01-01,1
Guatemala,2012-01-01,1
Cuba,2015-01-01,2
Indonesia,2018-01-01,5
Paraguay,2018-01-01,1
Pakistan,2010-01-01,5
Saudi Arabia,2015-01-01,1
Greece,2010-01-01,6
Syrian Arab Republic,2023-01-01,2
Nicaragua,2012-01-01,1
Slovenia,2021-01-01,3
Panama,2013-01-01,1
Slovakia,2023-01-01,3
Vanuatu,2015-01-01,1
Singapore,2017-01-01,1
Malaysia,2024-01-01,2
Kuwait,2010-01-01,2
Lebanon,2024-01-01,3
Greece,2017-01-01,2
Guadaloupe,2019-01-01,1
Cameroon,2020-01-01,2
Venezuela,2023-01-01,2
Aruba,2024-01-01,1
Saudi Arabia,2024-01-01,2
Bolivia,2011-01-01,1
Singapore,2024-01-01,4
Iceland,2024-01-01,1
Croatia,2017-01-01,1
Cambodia,2016-01-01,1
Croatia,2018-01-01,1
Tanzania,2021-01-01,1
Ukraine,2016-01-01,2
Cuba,2018-01-01,1
Australia,2010-01-01,34
Hong Kong,2010-01-01,54
Germany,2010-01-01,98
Norway,2010-01-01,15
Afghanistan,2010-01-01,1
United Kingdom,2014-01-01,154
Hong Kong,2015-01-01,30
Mexico,2010-01-01,29
Australia,2011-01-01,26
Malaysia,2011-01-01,10
Netherlands,2012-01-01,21
France,2013-01-01,157
Italy,2013-01-01,40
Belgium,2013-01-01,48
China,2013-01-01,100
Hong Kong,2013-01-01,31
Chile,2013-01-01,11
New Zealand,2013-01-01,6
Taiwan,2014-01-01,11
Greece,2015-01-01,6
Belgium,2017-01-01,46
Italy,2016-01-01,35
United Kingdom,2019-01-01,164
United States of America,2019-01-01,730
Ireland,2019-01-01,11
Brazil,2023-01-01,18
Poland,2012-01-01,13
Denmark,2012-01-01,20
United Arab Emirates,2014-01-01,3
Thailand,2014-01-01,15
France,2015-01-01,153
Iceland,2015-01-01,8
Kazakhstan,2016-01-01,1
India,2016-01-01,51
United Kingdom,2017-01-01,162
Ireland,2017-01-01,17
Serbia,2019-01-01,5
Sweden,2019-01-01,24
Turkey,2019-01-01,30
Russia,2020-01-01,31
Italy,2020-01-01,47
Hong Kong,2020-01-01,21
Czech Republic,2020-01-01,15
United States of America,2021-01-01,709
France,2021-01-01,124
Denmark,2021-01-01,14
Philippines,2021-01-01,22
Hong Kong,2022-01-01,15
Argentina,2022-01-01,11
Japan,2023-01-01,205
France,2024-01-01,107
Nigeria,2024-01-01,4
United States of America,2025-01-01,448
Brazil,2025-01-01,26
Iceland,2025-01-01,1
Thailand,2025-01-01,31
Canada,2025-01-01,61
Argentina,2025-01-01,9
Ireland,2025-01-01,15
Algeria,2011-01-01,1
Philippines,2020-01-01,6
Turkey,2018-01-01,23
Chile,2018-01-01,12
Egypt,2022-01-01,12
Israel,2010-01-01,7
Pakistan,2018-01-01,2
Russia,2014-01-01,30
Brazil,2022-01-01,19
United Kingdom,2013-01-01,164
Japan,2016-01-01,174
Hong Kong,2018-01-01,29
Brazil,2018-01-01,14
Italy,2019-01-01,30
Russia,2019-01-01,36
Spain,2020-01-01,54
Serbia,2020-01-01,5
Italy,2023-01-01,33
Russia,2023-01-01,23
Austria,2023-01-01,4
Italy,2024-01-01,36
Russia,2024-01-01,8
Syrian Arab Republic,2025-01-01,7
Philippines,2014-01-01,26
Ukraine,2011-01-01,4
Hong Kong,2023-01-01,23
Thailand,2019-01-01,8
Egypt,2013-01-01,11
Kyrgyz Republic,2011-01-01,1
Chile,2010-01-01,13
Slovakia,2016-01-01,4
Philippines,2016-01-01,27
Chile,2025-01-01,5
Peru,2022-01-01,2
Romania,2022-01-01,3
Lithuania,2018-01-01,3
Macedonia,2011-01-01,1
Poland,2011-01-01,17
Norway,2013-01-01,12
Iceland,2014-01-01,2
Luxembourg,2015-01-01,4
Estonia,2015-01-01,2
Malta,2016-01-01,3
Hungary,2018-01-01,9
Belarus,2021-01-01,1
Morocco,2021-01-01,3
Belarus,2020-01-01,1
Malta,2023-01-01,1
Peru,2023-01-01,5
Chile,2024-01-01,6
New Zealand,2025-01-01,7
Serbia,2025-01-01,5
Nepal,2025-01-01,2
Saudi Arabia,2011-01-01,4
Jordan,2021-01-01,1
Venezuela,2011-01-01,3
Ukraine,2017-01-01,5
Macedonia,2016-01-01,1
Iraq,2025-01-01,9
Slovakia,2013-01-01,3
Austria,2013-01-01,11
South Africa,2023-01-01,7
Greece,2014-01-01,7
Israel,2012-01-01,9
Ukraine,2021-01-01,3
Croatia,2020-01-01,3
Morocco,2011-01-01,2
Peru,2016-01-01,1
Indonesia,2019-01-01,5
Bosnia and Herzegovina,2021-01-01,1
Mongolia,2022-01-01,1
Czech Republic,2023-01-01,7
Singapore,2023-01-01,2
Malaysia,2025-01-01,2
Lebanon,2011-01-01,3
Lithuania,2024-01-01,2
Singapore,2014-01-01,3
Portugal,2010-01-01,3
United Arab Emirates,2010-01-01,4
Kenya,2014-01-01,1
Malaysia,2014-01-01,4
Nigeria,2021-01-01,1
Macedonia,2020-01-01,1
Cambodia,2023-01-01,1
Lebanon,2022-01-01,3
Malaysia,2010-01-01,1
Macedonia,2018-01-01,1
Algeria,2020-01-01,1
Ecuador,2019-01-01,1
Luxembourg,2021-01-01,3
French Polynesia,2022-01-01,1
Dominican Republic,2022-01-01,1
Ukraine,2025-01-01,1
Pakistan,2025-01-01,2
Bulgaria,2019-01-01,7
Uruguay,2017-01-01,1
Uruguay,2021-01-01,1
Estonia,2010-01-01,2
Cyprus,2019-01-01,1
Montenegro,2011-01-01,1
Sri Lanka,2013-01-01,1
Bahamas,2020-01-01,2
United Arab Emirates,2023-01-01,2
Iran,2020-01-01,3
Peru,2020-01-01,1
Croatia,2021-01-01,1
Dominican Republic,2011-01-01,1
Lebanon,2018-01-01,1
Malawi,2019-01-01,1
Mongolia,2021-01-01,1
Cambodia,2021-01-01,1
Belarus,2010-01-01,1
Jordan,2022-01-01,1
Solomon Islands,2023-01-01,1
Slovenia,2017-01-01,1
India,2010-01-01,60
Bulgaria,2010-01-01,7
Tunisia,2010-01-01,1
Denmark,2010-01-01,16
Thailand,2010-01-01,19
Czech Republic,2011-01-01,12
United States of America,2012-01-01,668
Romania,2013-01-01,4
India,2014-01-01,45
South Korea,2015-01-01,144
Spain,2012-01-01,41
Belarus,2012-01-01,1
Puerto Rico,2013-01-01,1
Hungary,2013-01-01,3
United Kingdom,2016-01-01,152
Bulgaria,2016-01-01,7
Chile,2017-01-01,11
Morocco,2018-01-01,3
France,2020-01-01,93
Netherlands,2020-01-01,16
Israel,2021-01-01,6
China,2023-01-01,185
South Korea,2011-01-01,89
Finland,2012-01-01,9
Austria,2012-01-01,14
Bulgaria,2015-01-01,1
Czech Republic,2015-01-01,9
Thailand,2017-01-01,14
Italy,2017-01-01,30
Sweden,2017-01-01,18
United States of America,2018-01-01,700
Dominican Republic,2019-01-01,1
Ukraine,2019-01-01,11
Cuba,2019-01-01,2
United States of America,2020-01-01,714
Japan,2020-01-01,177
Denmark,2020-01-01,19
Turkey,2020-01-01,23
Romania,2021-01-01,6
India,2021-01-01,43
United States of America,2022-01-01,709
China,2022-01-01,186
Estonia,2023-01-01,3
Dominican Republic,2023-01-01,3
Argentina,2023-01-01,13
Croatia,2024-01-01,2
China,2025-01-01,107
Slovakia,2025-01-01,7
Norway,2025-01-01,15
Thailand,2022-01-01,20
South Africa,2011-01-01,8
Sweden,2018-01-01,18
Spain,2021-01-01,40
Cambodia,2022-01-01,1
Canada,2023-01-01,79
Finland,2024-01-01,6
Palestinian Territory,2025-01-01,2
Philippines,2012-01-01,44
Pakistan,2024-01-01,1
Chile,2016-01-01,15
Philippines,2017-01-01,23
Pakistan,2011-01-01,8
Australia,2012-01-01,24
Croatia,2011-01-01,3
Pakistan,2014-01-01,6
Argentina,2012-01-01,12
Italy,2018-01-01,34
Greece,2020-01-01,9
Macedonia,2023-01-01,1
Finland,2025-01-01,17
Denmark,2025-01-01,17
Netherlands,2023-01-01,13
Chile,2021-01-01,13
Algeria,2010-01-01,1
Ireland,2010-01-01,12
New Zealand,2011-01-01,5
Luxembourg,2011-01-01,4
Hungary,2011-01-01,6
Serbia,2012-01-01,4
Croatia,2013-01-01,2
Colombia,2014-01-01,10
Ireland,2014-01-01,14
Chile,2015-01-01,16
United Arab Emirates,2016-01-01,3
Iceland,2017-01-01,6
Bulgaria,2018-01-01,6
Paraguay,2019-01-01,1
New Zealand,2019-01-01,7
Uruguay,2023-01-01,2
Taiwan,2022-01-01,11
Iran,2014-01-01,1
New Caledonia,2019-01-01,1
Portugal,2020-01-01,8
Switzerland,2020-01-01,9
Syrian Arab Republic,2024-01-01,2
United Arab Emirates,2025-01-01,3
Finland,2010-01-01,7
South Africa,2012-01-01,8
Puerto Rico,2017-01-01,2
Malta,2022-01-01,1
Luxembourg,2023-01-01,4
Colombia,2024-01-01,16
Cambodia,2024-01-01,2
Serbia,2010-01-01,4
Iceland,2016-01-01,3
Cuba,2017-01-01,1
Georgia,2018-01-01,2
Morocco,2023-01-01,2
Tunisia,2024-01-01,2
Peru,2017-01-01,2
Bosnia and Herzegovina,2022-01-01,1
Colombia,2012-01-01,3
Malta,2025-01-01,1
Slovakia,2021-01-01,4
Latvia,2012-01-01,1
Estonia,2016-01-01,1
Azerbaijan,2016-01-01,1
United Arab Emirates,2020-01-01,2
Cyprus,2021-01-01,1
Bulgaria,2022-01-01,2
Lithuania,2025-01-01,1
Saudi Arabia,2020-01-01,2
Paraguay,2012-01-01,1
New Caledonia,2011-01-01,1
Tunisia,2021-01-01,1
Kazakhstan,2022-01-01,2
Bulgaria,2025-01-01,2
Iraq,2022-01-01,1
Dominican Republic,2012-01-01,1
Cameroon,2021-01-01,1
Slovakia,2011-01-01,1
Singapore,2020-01-01,1
Bangladesh,2018-01-01,1
Czech Republic,2018-01-01,4
Nepal,2013-01-01,1
Uruguay,2020-01-01,1
Luxembourg,2010-01-01,1
Indonesia,2013-01-01,1
Cote D'Ivoire,2024-01-01,1
Morocco,2020-01-01,1
Turkey,2010-01-01,17
Canada,2011-01-01,117
Germany,2011-01-01,100
Tunisia,2011-01-01,2
Netherlands,2011-01-01,20
Taiwan,2012-01-01,9
Turkey,2013-01-01,27
Spain,2010-01-01,38
Russia,2010-01-01,24
Belgium,2011-01-01,35
Ireland,2011-01-01,16
Luxembourg,2014-01-01,2
Sweden,2014-01-01,18
Italy,2014-01-01,34
Portugal,2016-01-01,5
Denmark,2017-01-01,17
Algeria,2019-01-01,1
Thailand,2021-01-01,20
Croatia,2023-01-01,4
Japan,2024-01-01,225
Belgium,2012-01-01,38
Congo,2012-01-01,1
Netherlands,2013-01-01,11
Poland,2014-01-01,16
United States of America,2015-01-01,713
Italy,2015-01-01,37
Mexico,2015-01-01,35
United States of America,2016-01-01,758
Canada,2016-01-01,131
Serbia,2017-01-01,3
Argentina,2016-01-01,17
Mexico,2018-01-01,36
India,2019-01-01,55
Netherlands,2019-01-01,19
Taiwan,2019-01-01,10
South Africa,2020-01-01,16
Canada,2020-01-01,97
Ireland,2021-01-01,11
Germany,2021-01-01,73
Austria,2021-01-01,8
Norway,2021-01-01,12
Australia,2022-01-01,31
Czech Republic,2022-01-01,7
Russia,2022-01-01,24
Morocco,2022-01-01,2
United Kingdom,2023-01-01,157
Sweden,2023-01-01,20
Philippines,2023-01-01,54
Mongolia,2025-01-01,3
Egypt,2025-01-01,46
Iran,2025-01-01,8
Italy,2025-01-01,27
Netherlands,2024-01-01,11
Finland,2011-01-01,3
Netherlands,2021-01-01,23
Venezuela,2015-01-01,2
Colombia,2013-01-01,13
Spain,2018-01-01,57
Belgium,2018-01-01,51
Singapore,2021-01-01,3
Australia,2021-01-01,23
South Africa,2022-01-01,8
Spain,2023-01-01,60
Australia,2023-01-01,31
United Kingdom,2024-01-01,168
Argentina,2024-01-01,20
Netherlands,2025-01-01,16
Turkey,2021-01-01,26
Philippines,2018-01-01,28
Palau,2016-01-01,1
Egypt,2014-01-01,12
Pakistan,2017-01-01,4
Turkey,2025-01-01,11
Australia,2014-01-01,33
Montenegro,2013-01-01,1
New Zealand,2015-01-01,9
Denmark,2016-01-01,13
Ireland,2018-01-01,14
Romania,2019-01-01,5
Qatar,2018-01-01,2
Bulgaria,2021-01-01,4
Israel,2024-01-01,2
Portugal,2022-01-01,9
New Zealand,2016-01-01,3
Taiwan,2018-01-01,10
Qatar,2012-01-01,2
Chile,2011-01-01,12
Pakistan,2021-01-01,4
Iran,2010-01-01,2
Puerto Rico,2014-01-01,1
Luxembourg,2017-01-01,5
Latvia,2019-01-01,3
Lithuania,2022-01-01,3
Venezuela,2017-01-01,2
Serbia,2024-01-01,1
St. Lucia,2015-01-01,1
Slovenia,2015-01-01,1
Peru,2014-01-01,1
Lao People's Democratic Republic,2018-01-01,1
Vietnam,2013-01-01,2
Cuba,2011-01-01,2
Montenegro,2014-01-01,1
Ukraine,2023-01-01,2
Vietnam,2023-01-01,2
United States Minor Outlying Islands,2025-01-01,1
Israel,2011-01-01,4
Kazakhstan,2010-01-01,1
Malaysia,2022-01-01,5
Palestinian Territory,2011-01-01,1
Argentina,2015-01-01,5
Jordan,2016-01-01,1
Dominican Republic,2018-01-01,2
Estonia,2020-01-01,1
Iran,2021-01-01,3
Switzerland,2024-01-01,6
Malaysia,2012-01-01,3
Cyprus,2015-01-01,1
Saudi Arabia,2012-01-01,3
Malaysia,2020-01-01,2
Croatia,2019-01-01,2
Puerto Rico,2021-01-01,2
St. Pierre and Miquelon,2025-01-01,1
French Polynesia,2011-01-01,1
United Arab Emirates,2013-01-01,2
Estonia,2019-01-01,1
Iran,2017-01-01,1
Iran,2023-01-01,1
Iceland,2013-01-01,2
Singapore,2016-01-01,1
Dominican Republic,2017-01-01,1
Bosnia and Herzegovina,2019-01-01,1
Mauritius,2023-01-01,1
Pakistan,2020-01-01,1
Vietnam,2018-01-01,1
Cyprus,2018-01-01,1
United States of America,2010-01-01,693
United Kingdom,2010-01-01,153
France,2010-01-01,158
Hungary,2010-01-01,4
Singapore,2011-01-01,7
Puerto Rico,2011-01-01,2
Canada,2012-01-01,115
Lithuania,2012-01-01,1
Serbia,2011-01-01,3
Hong Kong,2012-01-01,40
Thailand,2013-01-01,20
Russia,2011-01-01,25
France,2012-01-01,146
South Korea,2012-01-01,113
Ireland,2012-01-01,13
Lithuania,2013-01-01,1
Ukraine,2014-01-01,7
Cuba,2014-01-01,1
Israel,2014-01-01,10
Austria,2014-01-01,8
Belgium,2016-01-01,37
Taiwan,2016-01-01,10
Netherlands,2016-01-01,17
South Korea,2017-01-01,171
Japan,2017-01-01,180
Canada,2017-01-01,150
United Arab Emirates,2017-01-01,4
China,2018-01-01,188
Hong Kong,2019-01-01,26
Thailand,2011-01-01,14
Canada,2014-01-01,133
Japan,2015-01-01,169
China,2015-01-01,131
Macao,2015-01-01,1
Australia,2016-01-01,25
Hong Kong,2016-01-01,45
France,2016-01-01,151
Ireland,2016-01-01,14
Indonesia,2015-01-01,3
South Korea,2018-01-01,172
Switzerland,2018-01-01,12
Poland,2019-01-01,11
South Korea,2020-01-01,205
Argentina,2020-01-01,18
Iceland,2020-01-01,2
Hong Kong,2021-01-01,19
South Korea,2022-01-01,134
Canada,2022-01-01,87
Switzerland,2022-01-01,6
United States of America,2023-01-01,630
Hungary,2023-01-01,7
Ireland,2023-01-01,17
China,2024-01-01,167
Mexico,2024-01-01,44
New Zealand,2024-01-01,8
St. Kitts and Nevis,2024-01-01,1
France,2025-01-01,79
Pakistan,2016-01-01,6
Philippines,2010-01-01,40
Turkey,2016-01-01,22
Singapore,2018-01-01,7
Norway,2020-01-01,17
Turkey,2017-01-01,24
Czech Republic,2016-01-01,12
Jordan,2010-01-01,1
China,2017-01-01,188
Malaysia,2017-01-01,5
Japan,2019-01-01,155
India,2020-01-01,50
Chile,2019-01-01,13
Czech Republic,2021-01-01,6
South Korea,2024-01-01,132
Luxembourg,2024-01-01,7
Norway,2012-01-01,14
Russia,2013-01-01,28
Germany,2023-01-01,52
Slovenia,2025-01-01,3
Egypt,2015-01-01,14
Syrian Arab Republic,2011-01-01,5
Cyprus,2013-01-01,1
Chile,2014-01-01,6
Brazil,2011-01-01,26
Slovakia,2012-01-01,2
Afghanistan,2013-01-01,2
Austria,2015-01-01,9
Iran,2016-01-01,5
Lithuania,2015-01-01,2
Colombia,2018-01-01,6
Singapore,2019-01-01,5
Bhutan,2019-01-01,1
Iran,2022-01-01,2
Nigeria,2023-01-01,3
Iceland,2023-01-01,3
New Zealand,2023-01-01,7
Colombia,2023-01-01,11
Paraguay,2024-01-01,1
Cyprus,2024-01-01,2
Netherlands,2010-01-01,16
Estonia,2014-01-01,1
Pakistan,2015-01-01,3
Portugal,2021-01-01,6
Cyprus,2014-01-01,1
Vietnam,2025-01-01,5
Norway,2011-01-01,9
Colombia,2020-01-01,6
Hong Kong,2025-01-01,9
Malaysia,2023-01-01,5
Bosnia and Herzegovina,2011-01-01,2
Uganda,2010-01-01,1
Hungary,2012-01-01,5
Greece,2012-01-01,3
Morocco,2014-01-01,2
Luxembourg,2016-01-01,1
Indonesia,2017-01-01,5
New Zealand,2017-01-01,1
Puerto Rico,2020-01-01,2
Egypt,2021-01-01,4
Albania,2020-01-01,2
Israel,2020-01-01,10
Norway,2023-01-01,5
Kuwait,2024-01-01,1
Norway,2018-01-01,10
Uruguay,2024-01-01,3
Lebanon,2019-01-01,3
Iceland,2012-01-01,3
United Arab Emirates,2015-01-01,1
Greece,2016-01-01,7
Serbia,2016-01-01,2
Indonesia,2021-01-01,6
Guatemala,2023-01-01,1
Iraq,2023-01-01,1
Ukraine,2010-01-01,3
Indonesia,2011-01-01,1
Cuba,2012-01-01,1
Malaysia,2015-01-01,1
Ukraine,2022-01-01,3
Senegal,2020-01-01,1
Macao,2025-01-01,1
South Africa,2019-01-01,1
Qatar,2013-01-01,1
Malta,2014-01-01,1
Cayman Islands,2016-01-01,1
Kazakhstan,2019-01-01,1
Slovenia,2019-01-01,2
Georgia,2012-01-01,1
Lebanon,2021-01-01,1
Croatia,2016-01-01,1
Qatar,2024-01-01,1
Dominican Republic,2025-01-01,2
Georgia,2025-01-01,2
Sri Lanka,2012-01-01,1
Myanmar,2017-01-01,1
Venezuela,2018-01-01,1
Senegal,2019-01-01,1
Venezuela,2019-01-01,1
Uzbekistan,2021-01-01,1
St. Kitts and Nevis,2023-01-01,1
Liechtenstein,2023-01-01,1
Bosnia and Herzegovina,2023-01-01,1
Canada,2010-01-01,108
South Korea,2010-01-01,83
Sweden,2010-01-01,22
Italy,2011-01-01,52
Cote D'Ivoire,2013-01-01,1
Netherlands,2014-01-01,19
China,2016-01-01,146
Brazil,2010-01-01,27
Spain,2011-01-01,56
India,2011-01-01,54
Italy,2012-01-01,50
Brazil,2012-01-01,36
India,2012-01-01,69
Denmark,2013-01-01,20
South Korea,2014-01-01,127
China,2014-01-01,126
France,2014-01-01,138
Mexico,2014-01-01,40
Canada,2015-01-01,131
Ireland,2015-01-01,14
Colombia,2015-01-01,10
Czech Republic,2017-01-01,16
Turkey,2015-01-01,21
Canada,2018-01-01,120
Spain,2019-01-01,58
Australia,2024-01-01,30
Switzerland,2011-01-01,9
United Kingdom,2012-01-01,156
Australia,2013-01-01,31
Bulgaria,2013-01-01,5
Japan,2014-01-01,187
Argentina,2014-01-01,6
Hungary,2015-01-01,2
South Africa,2015-01-01,7
Uruguay,2016-01-01,3
Hong Kong,2017-01-01,42
Finland,2017-01-01,5
