CAST_MEMBER,TITLE_COUNT,AVG_RATING
Anaïs Demoustier,17,5.843823529
Jennifer Tse Ting-Ting,2,5.7865
Rachel Weisz,17,6.440058824
Christopher Eccleston,9,7.058111111
Alyshia Ochse,3,3.871
Brian J. White,2,6.287
Richard Dormer,3,7.247666667
Greta Gerwig,14,6.059214286
J. Dario Bonetti,1,7.2
Anna Mcgahan,1,5.8
Rocco Reed,1,6.1
Vipin Sharma,5,7.26
Richard Griffiths,1,6.6
Kori Cioca,1,7.2
Oliver Stone,4,7.592
Julia Cho,2,6.5835
Shabana Azmi,6,6.657166667
Jeroen Spitzenberger,5,6.827
Camille Chamoux,5,5.8944
James C. Burns,2,5.5
Kay Tse,2,7.2
Miori Takimoto,6,6.85
Gabriella Wilde,2,6.45
Mariee Devereux,2,5.45
Daniel Brühl,20,6.11195
Nicholas Hoult,26,6.270653846
Michelle Pfeiffer,11,6.456545455
Kristen Devore Rakes,2,6.308
Josefine Preuß,5,6.837
Salli Saffioti,14,7.478333333
Barry Pepper,10,6.2298
Camille Sullivan,8,5.0625
Naomie Harris,15,6.405666667
Orla Brady,2,7.85
Jenson Button,1,6.587
Ekin Cheng Yee-Kin,3,7.533333333
Dougray Scott,11,6.121818182
Milo Ventimiglia,14,6.239714286
Sean Keenan,4,4.925
Rina Hidaka,31,7.250967742
Baek Yoon-Sik,8,7.06
Amy Johnston,4,6.175
Oh Dal-Su,14,7.057357143
Sandrine Holt,3,3.866666667
Gao Yuanyuan,5,6.5
Romolo Guerreri,1,6.262
Treat Williams,9,5.650222222
Kayden Kross,4,5.025
Michael Smiley,11,6.345818182
Rodolfo Domínguez,1,6.8
Venkatesh,4,5.85425
Bruce Straley,1,7.5
Susan Hogan,1,6
Leigh Bryan,1,6.949
Zineb Elkabi,1,6.8
Sebastian Bezzel,8,6.919
Roy Abramsohn,1,4.807
Tyler Hilton,2,6.15
Lola Tash,2,6.5
Florian Panzner,1,5.167
Franceso De Santis,1,6
Kevin Kline,11,6.271545455
Hamza Souideq,1,7.29
Tom Cullen,8,6.621875
Ricky Gervais,11,6.914818182
Scarlett Johansson,31,6.571290323
Jennifer Aniston,19,6.484631579
Manuela Velasco,3,6.431666667
Chantal Lauby,6,6.403166667
Kane Kosugi,3,5.766666667
Denis O'hare,9,6.108111111
Celina Jade,3,6.033333333
Mercedes Mason,4,6.1185
Ashley Greene,16,5.3078125
Yunjin Kim,7,7.224714286
Osvaldo Benavides,5,7.7
Natalie Burn,5,4.5622
Friedrich Von Thun,2,6.2
Cassi Thomson,2,5.2525
Marcus Johns,1,5.8
Louis Garrel,16,6.2008125
Gilles Cohen,5,5.843
Om Puri,4,6.62275
Tomohiro Ichikawa,1,6.8
Erja Malatier,1,5.33
Marta Barrio,1,6.3
Donald Faison,6,5.886666667
James Haslam,1,4.1
Chattrisse Dolabaille,1,6.5
Anne Marivin,4,5.5365
Derek Waters,2,5.85
Dominic Kay,1,4.7
Joel Kinnaman,19,6.304631579
Lebron James,6,6.681833333
Michael Mosley,4,6.5275
Adam Sandler,25,6.2958
Chris J. Murray,1,5.3
Helen Mccrory,4,6.56475
Chuck Liddell,3,5.119666667
Ross Ulbricht,1,6.8
Valentino Rossi,2,7.3
Reina Triendl,7,7.000857143
Shriya Saran,3,7.533333333
Pavel Douglas,1,7
Güneş Nezihe Şensoy,1,7.7
Vineet Kumar,1,7
Candace Cameron Bure,16,6.74275
Troy Ogletree,1,5.2
Alison Eastwood,2,6.3
Minori Chihara,9,7.047222222
Won Tae-Hee,1,5.3
Susanne Angulo,1,6.792
Evgeniya Loza,1,5.3
Aurora Papile,2,6.85
Daniel Hunter,1,4.1
Natalie Knepp,3,5.333333333
Carice Van Houten,10,6.1967
Martin Hentschel,1,7
Jorma Taccone,3,6.793666667
Haruka,3,7.433333333
Yousef Erakat,2,5.75
Sky Ferreira,4,6.025
Roland Tzafetás,1,5.665
Ryan Mclane,1,7.8
Sacha Baron Cohen,10,6.6316
Michelle Borth,2,5.7
Nathalie Hart,1,4.4
Delaney Henderson,1,7.2
Tomoko Tabata,1,6.622
Willem Dafoe,37,6.181621622
Christina Hendricks,19,6.299842105
Christina Ulloa,1,5.6
Takeshi Kaneshiro,2,6.25
Yoo Ho-Jeong,3,5.366666667
Joe Komara,1,5.4
Louis Dussol,1,6
Mélanie Bernier,11,6.107363636
Sam Hazeldine,7,5.760285714
Guadalupe Lancho,2,5.6
Katherine Mcnamara,10,6.26
Addison Timlin,10,6.2923
Aaron Taylor-Johnson,16,6.28675
Shane Murray-Corcoran,1,6.3
Zahn Mcclarnon,7,6.620571429
Jay Hayden,3,6.678666667
Toshiyuki Nishida,6,5.955666667
Michelle Ye Xuan,13,3.623076923
Sandra Ellis Lafferty,2,5.75
Jordan Gelber,1,5.678
Pam Hobbs,1,7.4
Tetsuya Kakihara,21,6.794047619
Akari Asahina,2,5.75
Vittoria Puccini,8,5.680625
Mayo Suzukaze,1,7.3
Preechaya Pongthananikorn,1,7.409
Ila Arun,1,6.4
Jack Doolan,4,6.15125
Katrina Bowden,9,5.409666667
Rinko Kikuchi,6,6.564833333
Masako Nozawa,11,7.376272727
Melissa Mccarthy,21,6.222190476
Christopher Sieber,1,7.2
Erin Fitzgerald,5,7.6718
Bryan Cranston,26,6.636961538
Demián Bichir,16,6.0795625
Nick Nolte,12,6.179166667
Antonio Banderas,38,6.305736842
Sumalee Montano,7,7.442857143
Josh Peck,8,5.9045
Jacob Bertrand,5,6.9556
Will Ryan,1,7.612
Vantroy Sánchez,1,7.7
Lesley-Ann Brandt,3,6.533333333
Ajith Kumar,4,4.675
Donnie Yen Chi-Tan,22,6.575954545
Bonnie Dennison,2,4.1
Lauren Ashley Carter,6,5.420666667
Mario Maurer,8,6.790125
Sianoa Smit-Mcphee,1,5.2
Angie Cepeda,4,5.68125
Kaitlyn Leeb,3,5.366666667
Allen Leech,6,6.432666667
Russell Brand,9,5.908222222
Billy Zane,10,5.891
María Botto,3,6.133333333
Stephen Amell,9,6.777777778
James Curry,1,6.048
Joel Mathews,1,4.8
Guillermo Del Toro,4,5.2
Noel Fisher,4,6.233
Famke Janssen,19,6.118210526
Aaron Paul,20,6.39475
Oka Antara,5,5.4404
Matthew Settle,3,5.334333333
Haley Joel Osment,8,6.276
Tina Fey,13,6.584461538
J. J. Soria,2,6.565
Jennifer Garner,17,6.506294118
Katherine Heigl,10,6.1754
Bonnie Lee Bouman,1,6.1
Miles Teller,20,6.2588
Nana Komatsu,6,7.021166667
Raúl Méndez,5,5.88
Jim Parsons,6,6.633333333
Judith Light,6,6.692333333
Gang Dong-Won,13,6.752230769
Andrea Duro,5,6.663
Danny Glover,27,5.749851852
Bill Paxton,10,6.5552
Kim Do-Hee,7,5.2
Ena Koshino,1,6.9
Ørjan Gamst,1,6.5
Bret Harris,1,5.9
Kiyomi Kumashiro,1,0
Brahim Tekfa,1,6.5
Shraddha Kapoor,12,6.5505
Alex Knight,2,5.8
David Thewlis,21,6.636285714
Sidharth Shukla,3,7.7
Michelle Veintimilla,3,5.096666667
Seth Macfarlane,11,6.901818182
Jeong Tae-Min,2,6.45
Olivia Colman,19,6.857842105
Jerry Lee,19,5.126947368
Callum Maloney,2,6.4
Isabelle Ottmann,1,7.2
Peter Benson,9,6.681444444
Michael Mcelhatton,6,6.901333333
Jelena Nik,1,4.9
Jai Courtney,16,6.362375
Ethan Juan,7,6.014285714
Kimberley Crossman,1,6.308
Malena Alterio,5,6.2712
Khushal Yousafzai,1,6.7
Stacy Martin,10,6.101
Pedro Pascal,16,6.0886875
Nobunaga Shimazaki,50,7.4453
Heather Cage,1,3.658
Nino Frassica,2,5.5
Yoichi Nukumizu,4,6.825
Rj Hermes,1,5.971
Greg Davies,7,7.321428571
Óscar Torres,1,6.3
Maisie Williams,11,6.503818182
Mayim Bialik,3,5.5
Pat Whitfield,1,7.9
Sauvane Delanoe,1,7.5
Jean-Claude Donda,4,5.275
Neel Sethi,1,6.865
Kim Hwan-Hee,3,6.966666667
Bella Heathcote,8,6.271625
Camila Rodrigues,1,7.2
Joo In-Cheol,5,5.3
Callan Mcauliffe,5,5.9032
Zachary Bennett,3,7.033333333
Stuart Allan,5,7.1808
Kenichi Suzumura,22,7.198045455
Eve,1,6.3
Kim Ji-Yeon,7,4.571428571
Choi I-Bi,1,6
Maggie Jiang,13,6.594230769
Jerry Lewis,1,5.2
Bérénice Bejo,16,6.49425
Lee Ru-Ahn,1,6.825
Lauren London,3,6.030333333
Jude Law,25,6.26384
Travis Lincoln Cox,1,4.7
Johann Von Bülow,3,7.120333333
Marie-Josée Croze,7,5.625428571
Aliénor Poisson,1,6
Dre Davis,1,5.1
Dan Stulbach,2,7.25
Lee Sung-Min,22,7.080227273
Sergey Mardar,4,5.875
Frederick Lau,7,6.690142857
Hakeem Kae-Kazim,2,5.778
Nargis Fakhri,4,6.1
Eva Riccobono,1,5.6
Wang Baoqiang,16,6.061375
Josh Cooley,2,6.1
Julie Maddalena,1,7.5
Song Hye-Kyo,8,7.021125
John Cleese,8,6.438375
Deng Chao,11,6.114181818
Sunil Grover,4,6.8315
Robert Patrick,16,5.5426875
Dean Geyer,2,5.35
Mariah Carey,4,6.2
Anna Camp,9,6.380888889
Isabelle Huppert,24,6.438208333
Rogério Samora,4,2.975
Alex Roe,6,6.283333333
Travis Tope,2,5.65
Max Chadburn,1,5.8
Park Keun-Rok,2,5.6935
Yoo Yeon-Seok,15,7.385533333
Anna Hutchison,7,5.372142857
Matt Dellapina,1,5.8
Billy Connolly,6,6.387166667
Lara Neumann,1,6.7
Ai Kayano,59,7.300186441
Min Do-Yoon,111,3.735684685
Inma Cuevas,1,7.1
Maggie Lawson,5,6.74
Jovan Jackson,1,7.1
Dustin Hoffman,13,6.611615385
Amy Saville,1,6.1
Guillaume Darnault,2,7.9
Barack Obama,5,7.42
Konstantin Khabenskiy,11,5.955363636
Shin Joon-Hyun,6,6.533333333
Marguerite Moreau,2,5.15
Taylor John Smith,6,6.1435
Georges St-Pierre,2,5.684
Johnny Vivash,1,5.53
Angela Schijf,2,8.25
Anna Torv,7,7.007142857
Breanna Yde,6,6.2965
Benoît Magimel,17,6.504529412
Tarek Boudali,11,6.090363636
Hervé Sogne,2,5.4
India Eisley,8,5.559875
Rob Reiner,1,6.4
Bob Odenkirk,9,6.075
Jean-Benoît Ugeux,1,5.9
Eve Myles,3,6.827333333
Pio Marmaï,18,6.645388889
Junya Enoki,27,7.286814815
Huang Xuan,15,5.906666667
Meher Vij,1,7.3
Danielle Carter,1,6.1
Natalia Dyer,5,5.9764
Rebecca Staab,2,6.75
Jörg Hartmann,2,7.5
Woody Jeffreys,1,5.7
Mark Gatiss,8,6.69975
Juan José Ballesta,3,6.033333333
Violetta Schurawlow,1,6.1
Song Sun-Mi,5,6.32
Afdhal Yusman,1,5.629
Catherine Jacob,2,5.85
Glenn Morshower,2,6.1575
Jean-Marc Généreux,3,6.166666667
Sarah Wayne Callies,7,6.277285714
Miranda Frigon,7,6.257142857
Christine Choueiri,1,7.5
Andrey Levin,1,6.8
Mahershala Ali,10,6.487
Dylan O'brien,16,6.7270625
Trevante Rhodes,7,6.376285714
Huang Xiaoming,23,5.884608696
Matilda Lutz,7,6.057142857
K.J. Apa,7,7.219142857
Michelle Yeoh,18,6.541611111
Han Jae-Kyung,2,2.75
Zoë Kravitz,13,6.336153846
Brian Tyree Henry,19,6.740421053
Taylor Schilling,10,6.3671
Kim Tae-Ri,10,7.4274
Kiki Layne,5,5.5662
Zhang Jingchu,6,6.04
John Krasinski,16,6.7406875
Lili Reinhart,8,5.987625
Rhiannon Fish,3,6.133333333
Juan Margallo,1,7.5
Geetanjali Kulkarni,2,7.45
Aimé Claeys,1,5.588
Marty Eli Schwartz,1,5.7
Tang Wei,8,6.78975
Lee Hong Chi,3,7.633333333
Tian Zhuangzhuang,1,7.6
Dennis Andres,3,6.966666667
Sunnyi Melles,1,6
Benson Jack Anthony,4,6.35
Marney Mcqueen,1,6.6
Kim Seung-O,10,6.8055
Thomas Lennon,7,6.428571429
Haymon Maria Buttinger,1,5.6
Luca Lionello,1,5.2
Jim Pharr,1,7.8
Lina Hüesker,2,5.401
Natalia Oreiro,5,6.8474
Katrina Kaif,16,5.96225
John Sehil,1,5.003
Joachim Paul Assböck,1,5.5
Kelly Macdonald,13,6.301461538
Susan Broberg,1,6.49
Samuel De Assis,2,7.05
Arunachalam Muruganatham,1,7.8
Alexandru Dabija,2,7.1635
Virpi Rautsiala,1,6.3
André Wilms,4,6.03975
Andrea Frigerio,3,6.835333333
Esom,10,7.092
Andrea Santamaria,1,7.2
Jazmin Caratini,1,7.627
David Corenswet,6,5.518666667
David James Elliott,5,5.7046
Hannah Gadsby,3,5.245333333
Élodie Bouchez,7,6.737857143
Aaron Staton,2,5.35
Brent Eaton,1,7.234
Claudia Trujillo,1,4.735
Kimberly Hebert Gregory,3,7.614
Jung Yoo-Jin,5,7.7326
Yui Horie,26,7.362653846
Keith L. Williams,2,6.7
Han Seo-Ah,7,3.428571429
Seishu Uragami,1,7.1
Steve Terada,1,6.6
Sean Maher,3,7.13
Jiavani,1,5.966
Juliana Zancanaro,1,7.7
Gatis Gāga,1,7.3
Becky,1,6.7
Katherine Diaz,1,5.8
Willem De Wolf,1,6.1
Riva Krymalowski,1,7.032
Quentin Tarantino,2,7.2
Robert Forster,11,5.942545455
Liz Christensen,1,6.9
Giovanni Vastarella,1,6.633
Jen Harper,1,5.9
Dakota Johnson,21,6.26652381
Tahar Rahim,17,6.541352941
Heo Jung-Min,5,6.22
Robert Aramayo,3,6.882666667
Daniela Bobadilla,1,7.6
Diane Guerrero,4,7.025
Jason Bell,1,6.921
Ayaka Nanase,6,7.3825
Gabriela Maria Schmeide,2,6.8745
June Peterson,1,5
Martha Higareda,12,7.011416667
Rebecca Shoichet,9,7.839111111
Giles King,1,6.937
T.I.,4,6.61325
Blu Hunt,2,5.999
Park Shin-Hye,16,7.72675
Johnny Flynn,12,6.672083333
Gijs Blom,5,6.569
Dee Bradley Baker,35,6.675342857
Hae Il,19,3.468421053
Yura Borisov,11,7.409090909
Jack Kane,2,6.056
Leïla Bekhti,15,6.0018
Radha Mitchell,13,5.975769231
Aniello Arena,2,6.65
Yune Nogueiras,1,6.6
Cory Graves,1,8.017
Alec Secăreanu,3,6.7
Jayden Mcginlay,1,4.858
Thomas L. Colford,1,5.4
Ricardo Freitas,2,5.86
Rob Rackstraw,4,3.575
Won Seo-Hee,1,1
Paul Sloan,3,5.166666667
Jo Firestone,3,6.266666667
Kim Sae-Byuk,2,7.082
Thorbjørn Harr,6,6.085
Robert Macdougall,1,7.1
Emily Carey,4,6.725
Ross Noble,3,6.042
Naian González Norvind,1,6.472
Ana De Armas,20,5.75815
Tilda Swinton,20,6.5935
Shakira Ja'nai Paye,1,6.2
Kevin Dee,1,5.722
Agustin Olcese,4,5.9035
Sadie Katz,2,5.45
Natalie Lander,4,6.775
Pascale Arbillot,9,6.231444444
Ivanna Sakhno,3,4.228666667
Elliott Crosset Hove,2,6.3
Peter Coyote,6,6.364833333
Jessica Darrow,2,7.3
Miyu Takagi,4,5.83125
Don Cheadle,15,6.5408
Sakina Jaffrey,1,7.3
Cyril Lecomte,2,6.329
Sienna Farall,1,5.3
Sanford Worth,1,6
Hank Azaria,13,6.335846154
Asher Bishop,1,7.3
Miriama Mcdowell,1,5.7
Mona Marshall,3,7.366666667
Genevieve O'reilly,2,6.75
Matthew Rhys,7,6.023857143
Aurora Giovinazzo,2,7.1325
Pietro Castellitto,5,6.36
Carole Weyers,1,5.86
Ryan Driller,1,5
Kiyohiko Shibukawa,2,8.0715
Amber Rose Mason,1,6.1
Nick Sagar,4,6.55075
Evangeline Lilly,9,6.674222222
Brian Yang,1,7.1
Rebecca Rittenhouse,2,5.936
Juliet Rusche,2,7.45
Eva Lomby,1,6.5
Goro Oishi,1,6.429
Tom Vogt,1,6.4
Kirsten Nelson,2,6.95
Pablo Cruz Guerrero,1,7.7
Arthur Berning,3,6.3
Andreas Lust,2,6.7
Nirmal Purja,1,7.3
Martha Issová,1,7.2
Louisiane Gouverneur,1,6.4
Isao Hashizume,3,6.910333333
Alessandro Preziosi,4,6.55
Makoto Furukawa,27,7.076296296
Keke Palmer,18,6.624444444
Constance Wu,9,5.867666667
Daisy Edgar-Jones,7,6.340285714
Lupita Nyong'o,11,6.913363636
Ahn Sung-Ki,5,6.08
Jurnee Smollett,9,6.719888889
Sayaka Akimoto,3,6.05
Jaboukie Young-White,2,3.161
Yeardley Smith,5,6.5416
Gary Valentine,3,5.766666667
Rasjid César,1,6.9
Engin Altan Düzyatan,5,6.945
Quách Ngọc Tuyên,2,7.15
Maxi Witrak,1,5.1
Joshua Rollins,1,5.7
Jake Short,5,7.05
Thanachat Tullayachat,1,5.8
Waise Lee Chi-Hung,3,6.760333333
Rie Takahashi,42,7.610404762
Gérard Darmon,8,5.91025
Yumiko Kobayashi,12,7.229166667
Tomasz Włosok,3,7
Ajay,1,4.2
Suraj Venjaramoodu,2,3.55
Margaret Cho,4,6.5555
Alessandra Mastronardi,5,6.9524
America Young,12,6.566666667
Vince Rillon,9,4.3
Robb Guinto,12,3.825
Ramón Barea,7,6.561285714
Adrien Beard,2,7.15
Ryan Gage,3,6.149333333
Hernán Mendoza,6,7.483166667
Mona Pirzad,1,6.5
Alberto San Juan,5,5.69
Alban Ukaj,1,6.8
Enric Auquer,3,6.919333333
Sofiane Bennacer,1,6.57
Kim Soo-Yeon,1,5.8
Valérie Dréville,1,6.2
Burak Deniz,8,7.13125
Aigars Vilims,1,4.8
Lado Hadzic,1,5.9
Wawaa Nichari Chokprajakchat,2,7.7
Ezequiel Rodríguez,2,5.245
Emmanuelle Bercot,9,6.535
Joey Lauren Adams,3,5.300666667
Jeremy Holm,3,3.5
Tommy Lee Jones,17,6.305882353
Jill Larson,3,6.110333333
Yoon Taek-Seung,5,1.6
Santiago Sandoval,1,7.2
Stephen Keenan,1,7.539
Billy Barratt,3,4.589
Andrea Bechis,1,6.929
Tony Anselmo,7,7.314428571
Yang Caiyu,7,6.014285714
Ana Jimena Villanueva,1,7.9
Mandy Sekiguchi,1,7.2
Logan Huffman,4,5.62075
Larenz Tate,3,6.591
Toby Huss,11,5.971181818
Max Mauff,2,7.3
Kenjiro Yamashita,3,7
Johanne Louise Schmidt,1,7.2
Ashton Holmes,3,6.435666667
Cal Macaninch,1,6.469
Scott Jurek,1,7.3
Kate Micucci,21,7.210333333
Ayane Sakura,48,7.424833333
Cas Anvar,4,5.975
Finn Little,2,6.85
Erika Miranda,1,5
Ruri Shinato,2,6.2
Ana Fernández,4,7.001
Vangelis Mourikis,3,6.166666667
Alice David,3,6.366666667
Rina Sato,16,6.7150625
Garrett Schulte,1,6.3
Francesco Russo,4,6.875
Liz Dieppa,1,6.9
Jerry O'connell,14,6.177928571
Sayu Kubota,3,7.866666667
Ralf,1,7.6
Wang Jianguo,1,6.931
Shruti Sharma,3,4.9
Panumas Sangdee,1,6.3
Joseph Kamal,1,6.4
Bekzat Eleusizov,1,7.8
Hynden Walch,8,7.17775
Matthew Daddario,4,6.375
Sam Ashby,1,5.8
Hadriel Roure,1,7.1
Anderson Silva,3,5.933333333
Jimin,13,7.573307692
Nathan Kehn,1,3.3
Felice Jankell,4,4.41275
Sergio Peris-Mencheta,6,6.699833333
Ken Watanabe,11,6.751909091
Sean J. Dillingham,1,4.4
Mj Cayabyab,2,3.7
Chris 'c.T.' Tamburello,1,4.2
Éric Cantona,4,6.3715
Tilly Vosburgh,1,7
Schuyler Fox,1,7.7
Zach Gilford,7,6.066857143
Klara Castanho,3,7.018666667
Felix Kramer,1,6.068
Alfonso Dosal,4,6.9725
Simon Manyonda,1,7.1
Gwen Garci,1,3.3
Lance Reddick,10,5.7355
Audrey Tautou,13,6.191923077
Atomu Mizuishi,7,7.199714286
Colton Tran,1,5.7
Stefano Paganini,1,7.5
Taeke Nicolaï,1,6.6
Inori Minase,37,7.509918919
Janne Hyytiäinen,2,7.05
Himesh Patel,8,5.819
Rubén Castillón,1,0
Katherine Moennig,2,6.7
Angel Prater,1,5.7
Paul Spurrier,2,6.55
Danielle Kennedy,1,6
Beyoncé,5,8.12
Manisha Koirala,1,5.5
Germán Baudino,2,3.1
Angela Winkler,3,6.301666667
Dominique Tipper,4,7.1175
Kanata Hosoda,4,5.3855
Raz Degan,1,6.7
Patpasit Na Songkhla,2,5.8
Yolonda Ross,3,6.408
Lauren Lavera,3,6.4
Maryana Spivak,4,7.458
Tobias Kersloot,1,5.7
Phyllis Logan,6,5.566666667
Leslie Grace,2,6.8
Alessia Yoko Fontana,1,7.1
Ella Rubin,2,3.6995
Saleka Night Shyamalan,1,6.394
Tsu Shan Chambers,1,4.9
Lakshya Lalwani,2,8.1
Rao Ramesh,2,3.381
Antonina Litwiniak,2,4.05
Kim Jae-Chul,1,7.5
Song Seung-Heon,12,6.249083333
Sasha Luss,4,5.95
Itan Magnaye,6,3.816666667
Sarah Lind,9,5.800222222
Jonas Dassler,4,6.64775
Manu Respall,1,7
Patricia Mckenzie,1,5.75
William Vicary,1,7.5
Charlie Hall,1,5.8
Gregor Hološka,1,5.9
Arturo Valls,4,6.05
Jerry Seinfeld,4,6.25275
Sunny Sun,2,6.4
Mao Xiaorui,1,6.6
Franz Rogowski,8,6.872
Nancy Dupláa,1,6.8
Oliver Jones,1,6.7
Arnau García,1,10
Rubya Chaudhry,1,3.3
Manushi Chhillar,2,6.7795
John Lithgow,14,6.235428571
Wayne Duvall,2,6.25
Chloe Xiang,3,1.966666667
Yellow,1,5.9
Adam Demos,5,7.1138
Pierre Lottin,5,6.3228
Athar Barakbah,1,5.5
David Keith,4,5.18325
Devika Vatsa,1,5.8
Shuang Hu,1,5.5
Osmar Núñez,2,5.5
Matilda Källström,1,4.6
Flavia Watson,1,4.8
Tommy Samonte,1,0
Corey Zielinski,1,0
Christy Imperial,2,5
Danny Dyer,7,4.821857143
Terence Yin Chi-Wai,5,6.7
Erika Carlina,2,3.5
Emir Mahira,2,6.6
Tip Cullen,1,5.2
Sasha Ormond,1,2
Dan Collins,1,0
Anna Yamada,6,5.657166667
Kim Joo-Ryoung,1,0
Razvan Stoica,1,0
Vinay Rai,2,6.6
Rebecca Dalton,1,0
Chhaya Kadam,3,4.866666667
Jourdy Pranata,1,5.2
Maria Bergenfalk,1,0
Nicole Wallace,5,6.0904
Chiranjeet Chakraborty,1,0
Indrani Dutta,1,0
Florencia Halbide,1,0
Artrial Clark,1,4
Zhou You,4,1.775
Louise Alba,1,0
Flo Fagerli,1,0
Nirmal Rishi,1,0
Kristin Macke,1,0
Ryan Kyle Newman,1,0
Robin Bartlett,4,4.56
Paola Soliva,1,0
Kim Chung,2,2.5
Ida Rahayu,1,0
Amy Landecker,9,5.914555556
Puka,1,0
Jesse Posey,2,0
Kendrick Lamar,2,3.75
Anna Júlia Dias,1,8.8
Allison Paige,1,0
Becca Hirani,3,4.643333333
